Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
492,Huttunen,Ari Jussi,"Huttunen, Ari 'Addu'",,,etunimi.sukunimi.490@example.com,Testiosoite 491,10490,Helsinki,20,SavO,H,
493,Sihvola,Emma Valpuri,"Sihvola, Emma",,,etunimi.sukunimi.491@example.com,Testiosoite 492,10491,Helsinki,20,SavO,ML,
494,Nevalainen,Emmi Noora,"Nevalainen, Emmi",,,etunimi.sukunimi.492@example.com,Testiosoite 493,10492,Helsinki,20,SavO,V,
495,Juutinen,Esko Heikki Johannes,"Juutinen, Esko",,,etunimi.sukunimi.493@example.com,Testiosoite 494,10493,Helsinki,20,SavO,O,
496,Remonen,Iina Tuulikki,"Remonen, Iina",,,etunimi.sukunimi.494@example.com,Testiosoite 495,10494,Helsinki,20,SavO,B,
497,Holopainen,Jani Hans,"Holopainen, Jani",,,etunimi.sukunimi.495@example.com,Testiosoite 496,10495,Helsinki,20,SavO,T,
498,Oinonen,Jukka Antero,"Oinonen, Jukka",,,etunimi.sukunimi.496@example.com,Testiosoite 497,10496,Helsinki,20,SavO,L,
499,Pakarinen,Jukka Antero,"Pakarinen, Jukka 'Rasti'",,,etunimi.sukunimi.497@example.com,Testiosoite 498,10497,Helsinki,20,SavO,MM,
500,Gustafsson,Jussi Petteri,"Gustafsson, Jussi",,,etunimi.sukunimi.498@example.com,Testiosoite 499,10498,Helsinki,20,SavO,K,
501,Kastarinen,Katja Pauliina,"Kastarinen, Katja",,,etunimi.sukunimi.499@example.com,Testiosoite 500,10499,Helsinki,20,SavO,E,
502,Kalliomäki,Katriina Elina,"Kalliomäki, Katriina",,,etunimi.sukunimi.500@example.com,Testiosoite 501,10500,Helsinki,20,SavO,H,
503,Kainulainen,Laura Alina,"Kainulainen, Laura",,,etunimi.sukunimi.501@example.com,Testiosoite 502,10501,Helsinki,20,SavO,ML,
504,Korhonen,Laura Maria,"Korhonen, Laura",,,etunimi.sukunimi.502@example.com,Testiosoite 503,10502,Helsinki,20,SavO,V,
505,Auvinen,Lauri Mika Petteri,"Auvinen, Lauri",,,etunimi.sukunimi.503@example.com,Testiosoite 504,10503,Helsinki,20,SavO,O,
506,Niva,Lotta Eveliina,"Niva, Lotta",,,etunimi.sukunimi.504@example.com,Testiosoite 505,10504,Helsinki,20,SavO,B,
507,Haka,Maija Erika,"Haka, Maija",,,etunimi.sukunimi.505@example.com,Testiosoite 506,10505,Helsinki,20,SavO,T,
508,Väre,Maija Tuuli,"Väre, Maija",,,etunimi.sukunimi.506@example.com,Testiosoite 507,10506,Helsinki,20,SavO,L,
509,Häkkinen,Margareeta Anna Emilia,"Häkkinen, Margareeta",,,etunimi.sukunimi.507@example.com,Testiosoite 508,10507,Helsinki,20,SavO,MM,
510,Miettinen,Markus Juhani,"Miettinen, Markus",,,etunimi.sukunimi.508@example.com,Testiosoite 509,10508,Helsinki,20,SavO,K,
511,Pitkänen,Mikko Riku Aleksi,"Pitkänen, Mikko",,,etunimi.sukunimi.509@example.com,Testiosoite 510,10509,Helsinki,20,SavO,E,
512,Lindfors,Minna Helena,"Lindfors, Minna",,,etunimi.sukunimi.510@example.com,Testiosoite 511,10510,Helsinki,20,SavO,H,
513,Virtanen,Otto Lauri Johannes,"Virtanen, Otto",,,etunimi.sukunimi.511@example.com,Testiosoite 512,10511,Helsinki,20,SavO,ML,
514,Temmes,Outi Kaarina,"Temmes, Outi",,,etunimi.sukunimi.512@example.com,Testiosoite 513,10512,Helsinki,20,SavO,V,
515,Alapeteri,Pia Pauliina,"Alapeteri, Pia",,,etunimi.sukunimi.513@example.com,Testiosoite 514,10513,Helsinki,20,SavO,O,
516,Kettunen,Pyry Juhani,"Kettunen, Pyry",,,etunimi.sukunimi.514@example.com,Testiosoite 515,10514,Helsinki,20,SavO,B,
517,Ruuth,Riikka Maaret,"Ruuth, Riikka",,,etunimi.sukunimi.515@example.com,Testiosoite 516,10515,Helsinki,20,SavO,T,
518,Arola,Saara Eliisa,"Arola, Saara",,,etunimi.sukunimi.516@example.com,Testiosoite 517,10516,Helsinki,20,SavO,L,
519,Pennanen,Saila Pauliina,"Pennanen, Saila",,,etunimi.sukunimi.517@example.com,Testiosoite 518,10517,Helsinki,20,SavO,MM,
520,Juutinen,Sara Henriikka,"Juutinen, Sara",,,etunimi.sukunimi.518@example.com,Testiosoite 519,10518,Helsinki,20,SavO,K,
521,Ulmanen,Sini Maarit,"Ulmanen, Sini",,,etunimi.sukunimi.519@example.com,Testiosoite 520,10519,Helsinki,20,SavO,E,
522,Jentze,Linnea Suvi Tuulia,"Jentze, Suvi",,,etunimi.sukunimi.520@example.com,Testiosoite 521,10520,Helsinki,20,SavO,H,
523,Laatikainen,Tanja Onerva,"Laatikainen, Tanja",,,etunimi.sukunimi.521@example.com,Testiosoite 522,10521,Helsinki,20,SavO,ML,
524,Valkonen,Tatu Petteri,"Valkonen, Tatu",,,etunimi.sukunimi.522@example.com,Testiosoite 523,10522,Helsinki,20,SavO,V,
525,Tuovinen,Veera Eveliina,"Tuovinen, Veera",,,etunimi.sukunimi.523@example.com,Testiosoite 524,10523,Helsinki,20,SavO,O,
526,Meriläinen,Ville Sakari,"Meriläinen, Ville 'Piispa'",,,etunimi.sukunimi.524@example.com,Testiosoite 525,10524,Helsinki,20,SavO,B,
527,Pulkkinen,Ville Petteri,"Pulkkinen, Ville",,,etunimi.sukunimi.525@example.com,Testiosoite 526,10525,Helsinki,20,SavO,T,
528,Peltonen,Aku Petteri,"Peltonen, Aku 'AQ'",,,etunimi.sukunimi.526@example.com,Testiosoite 527,10526,Helsinki,14,HO-Natura,L,
529,Valjakka,Anna Kristiina,"Valjakka, Anna",,,etunimi.sukunimi.527@example.com,Testiosoite 528,10527,Helsinki,14,HO-Natura,MM,
530,Zitting,Anna Maija,"Zitting, Anna",,,etunimi.sukunimi.528@example.com,Testiosoite 529,10528,Helsinki,14,HO-Natura,K,
531,Hämäläinen,Anu-Mari,"Hämäläinen, Anu-Mari",,,etunimi.sukunimi.529@example.com,Testiosoite 530,10529,Helsinki,14,HO-Natura,E,
532,Koivu,Arto Petteri,"Koivu, Arto",,,etunimi.sukunimi.530@example.com,Testiosoite 531,10530,Helsinki,14,HO-Natura,H,
533,Tuomela,Erkka Eevert,"Tuomela, Erkka",,,etunimi.sukunimi.531@example.com,Testiosoite 532,10531,Helsinki,14,HO-Natura,ML,
534,Kanerva,Heimo Sakari,"Kanerva, Heimo",,,etunimi.sukunimi.532@example.com,Testiosoite 533,10532,Helsinki,14,HO-Natura,V,
535,Mattila,Henriikka Johanna Kaarina,"Mattila, Henriikka",,,etunimi.sukunimi.533@example.com,Testiosoite 534,10533,Helsinki,14,HO-Natura,O,
536,Tynkkynen,Ilkka Santeri,"Tynkkynen, Ilkka",,,etunimi.sukunimi.534@example.com,Testiosoite 535,10534,Helsinki,14,HO-Natura,B,
537,Ollikainen,Jani Marko Tapani,"Ollikainen, Jani 'bestis'",,,etunimi.sukunimi.535@example.com,Testiosoite 536,10535,Helsinki,14,HO-Natura,T,
538,Hyytiäinen,Janne Sakari,"Hyytiäinen, Janne",,,etunimi.sukunimi.536@example.com,Testiosoite 537,10536,Helsinki,14,HO-Natura,L,
539,Hyvönen,Jarna Elena,"Hyvönen, Jarna",,,etunimi.sukunimi.537@example.com,Testiosoite 538,10537,Helsinki,14,HO-Natura,MM,
540,Mokka,Jenna Emilia,"Mokka, Jenna",,,etunimi.sukunimi.538@example.com,Testiosoite 539,10538,Helsinki,14,HO-Natura,K,
541,Luolaja,Jenni Pauliina,"Luolaja, Jenni",,,etunimi.sukunimi.539@example.com,Testiosoite 540,10539,Helsinki,14,HO-Natura,E,
542,Koponen,Juha Henrik,"Koponen, Juha",,,etunimi.sukunimi.540@example.com,Testiosoite 541,10540,Helsinki,14,HO-Natura,H,
543,Heliö,Jukka Tuomas,"Heliö, Jukka",,,etunimi.sukunimi.541@example.com,Testiosoite 542,10541,Helsinki,14,HO-Natura,ML,
544,Lehtinen,Juuso Jalmari,"Lehtinen, Juuso",,,etunimi.sukunimi.542@example.com,Testiosoite 543,10542,Helsinki,14,HO-Natura,V,
545,Eriksson,Jyrki Olavi,"Eriksson, Jyrki",,,etunimi.sukunimi.543@example.com,Testiosoite 544,10543,Helsinki,14,HO-Natura,O,
546,Holmström,Jenny Karoliina,"Holmström, Karoliina",,,etunimi.sukunimi.544@example.com,Testiosoite 545,10544,Helsinki,14,HO-Natura,B,
547,Ervasti,Kim Mikael,"Ervasti, Kim",,,etunimi.sukunimi.545@example.com,Testiosoite 546,10545,Helsinki,14,HO-Natura,T,
548,Lähteenmäki,Liisa Katriina,"Lähteenmäki, Liisa",,,etunimi.sukunimi.546@example.com,Testiosoite 547,10546,Helsinki,14,HO-Natura,L,
549,Kostamo,Maarit Hannele,"Kostamo, Maarit",,,etunimi.sukunimi.547@example.com,Testiosoite 548,10547,Helsinki,14,HO-Natura,MM,
550,Korpinen,Markus Nikolaus,"Korpinen, Markus",,,etunimi.sukunimi.548@example.com,Testiosoite 549,10548,Helsinki,14,HO-Natura,K,
551,Nieminen,Martti Johannes,"Nieminen, Martti",,,etunimi.sukunimi.549@example.com,Testiosoite 550,10549,Helsinki,14,HO-Natura,E,
552,Sergejeff,Mikko Petteri,"Sergejeff, Mikko",,,etunimi.sukunimi.550@example.com,Testiosoite 551,10550,Helsinki,14,HO-Natura,H,
553,Varje,Pekka Sakari,"Varje, Pekka",,,etunimi.sukunimi.551@example.com,Testiosoite 552,10551,Helsinki,14,HO-Natura,ML,
554,Lähteenkorva,Riku Petteri,"Lähteenkorva, Riku",,,etunimi.sukunimi.552@example.com,Testiosoite 553,10552,Helsinki,14,HO-Natura,V,
555,Lähteenmäki,Lauri Sakari,"Lähteenmäki, Sakari",,,etunimi.sukunimi.553@example.com,Testiosoite 554,10553,Helsinki,14,HO-Natura,O,
556,Vuorinen,Samu Henrik Aleksei,"Vuorinen, Samu",,,etunimi.sukunimi.554@example.com,Testiosoite 555,10554,Helsinki,14,HO-Natura,B,
557,Vekkeli,Santtu Esa Tapio,"Vekkeli, Santtu",,,etunimi.sukunimi.555@example.com,Testiosoite 556,10555,Helsinki,14,HO-Natura,T,
558,Hatakka,Risto Tapio,"Hatakka, Tapio",,,etunimi.sukunimi.556@example.com,Testiosoite 557,10556,Helsinki,14,HO-Natura,L,
559,Laakso,Teemu Oskari,"Laakso, Teemu",,,etunimi.sukunimi.557@example.com,Testiosoite 558,10557,Helsinki,14,HO-Natura,MM,
560,Gebhard,Teo Henrik,"Gebhard, Teo",,,etunimi.sukunimi.558@example.com,Testiosoite 559,10558,Helsinki,14,HO-Natura,K,
561,Saarela,Tuomas Jukka,"Saarela, Tuomas",,,etunimi.sukunimi.559@example.com,Testiosoite 560,10559,Helsinki,14,HO-Natura,E,
562,Lehto,Veera Elina,"Lehto, Veera",,,etunimi.sukunimi.560@example.com,Testiosoite 561,10560,Helsinki,14,HO-Natura,H,
563,Lähteenmäki,Veikko Juhani,"Lähteenmäki, Veikko",,,etunimi.sukunimi.561@example.com,Testiosoite 562,10561,Helsinki,14,HO-Natura,ML,
564,Lehtinen,Viljo Pietari,"Lehtinen, Viljo",,,etunimi.sukunimi.562@example.com,Testiosoite 563,10562,Helsinki,14,HO-Natura,V,
565,Lappalainen,Ville Sakari,"Lappalainen, Ville",,,etunimi.sukunimi.563@example.com,Testiosoite 564,10563,Helsinki,14,HO-Natura,O,
566,Punkari,Milla Maria,"Punkari, Milla",,,etunimi.sukunimi.564@example.com,Testiosoite 565,10564,Helsinki,14,HO-Natura,B,
567,Mäkelä,Albert Lauri Kristian,"Mäkelä, Albert",,,etunimi.sukunimi.565@example.com,Testiosoite 566,10565,Helsinki,21,KSO-VSO,T,
568,Huuskonen,Anna Katariina,"Huuskonen, Anna",,,etunimi.sukunimi.566@example.com,Testiosoite 567,10566,Helsinki,21,KSO-VSO,L,
569,Kosonen,Anna Emilia,"Kosonen, Anna",,,etunimi.sukunimi.567@example.com,Testiosoite 568,10567,Helsinki,21,KSO-VSO,MM,
570,Piesala,Ukko Väinö Eemeli,"Piesala, Eemeli",,,etunimi.sukunimi.568@example.com,Testiosoite 569,10568,Helsinki,21,KSO-VSO,K,
571,Pylsy,Elina Maria,"Pylsy, Elina",,,etunimi.sukunimi.569@example.com,Testiosoite 570,10569,Helsinki,21,KSO-VSO,E,
572,Rintala,Essi Kristiina,"Rintala, Essi",,,etunimi.sukunimi.570@example.com,Testiosoite 571,10570,Helsinki,21,KSO-VSO,H,
573,Mäkelä,Hanna-Maria Helena,"Mäkelä, Hanna-Maria",,,etunimi.sukunimi.571@example.com,Testiosoite 572,10571,Helsinki,21,KSO-VSO,ML,
574,Jurvanen,Juha-Pekka Olavi,"Jurvanen, Juha-Pekka",,,etunimi.sukunimi.572@example.com,Testiosoite 573,10572,Helsinki,21,KSO-VSO,V,
575,Leppänen,Maija Helena,"Leppänen, Maija",,,etunimi.sukunimi.573@example.com,Testiosoite 574,10573,Helsinki,21,KSO-VSO,O,
576,Eskelinen,Marja Eeva-Riitta,"Eskelinen, Marja",,,etunimi.sukunimi.574@example.com,Testiosoite 575,10574,Helsinki,21,KSO-VSO,B,
577,Kosonen,Suvi Matleena,"Kosonen, Matleena",,,etunimi.sukunimi.575@example.com,Testiosoite 576,10575,Helsinki,21,KSO-VSO,T,
578,Kaijaluoto,Otso Veikko,"Kaijaluoto, Otso",,,etunimi.sukunimi.576@example.com,Testiosoite 577,10576,Helsinki,21,KSO-VSO,L,
579,Vogt,Sara Tuuli Marjatta,"Vogt, Sara",,,etunimi.sukunimi.577@example.com,Testiosoite 578,10577,Helsinki,21,KSO-VSO,MM,
580,Oinas,Varpu Eliisa,"Oinas, Varpu",,,etunimi.sukunimi.578@example.com,Testiosoite 579,10578,Helsinki,21,KSO-VSO,K,
581,Kuusela,Heidi Marja,"Kuusela, Heidi",,,etunimi.sukunimi.579@example.com,Testiosoite 580,10579,Helsinki,21,KSO-VSO,E,
582,Korhonen,Henri Mikael,"Korhonen, Henri",,,etunimi.sukunimi.580@example.com,Testiosoite 581,10580,Helsinki,21,KSO-VSO,H,
583,Ahola,Ilari Tapani,"Ahola, Ilari",,,etunimi.sukunimi.581@example.com,Testiosoite 582,10581,Helsinki,21,KSO-VSO,ML,
584,Mäkinen,Jenna Henriikka,"Mäkinen, Jenna",,,etunimi.sukunimi.582@example.com,Testiosoite 583,10582,Helsinki,21,KSO-VSO,V,
585,Niittynen,Lauri Olavi,"Niittynen, Lauri",,,etunimi.sukunimi.583@example.com,Testiosoite 584,10583,Helsinki,21,KSO-VSO,O,
586,Lähteenaho,Liisa-Maija,"Lähteenaho, Liisa",,,etunimi.sukunimi.584@example.com,Testiosoite 585,10584,Helsinki,21,KSO-VSO,B,
587,Varjo,Hennariikka Mariaana,"Varjo, Hennariikka 'Masa'",,,etunimi.sukunimi.585@example.com,Testiosoite 586,10585,Helsinki,21,KSO-VSO,T,
588,Lehto,Matti Juha Henrik,"Lehto, Matti",,,etunimi.sukunimi.586@example.com,Testiosoite 587,10586,Helsinki,21,KSO-VSO,L,
589,Hirvonen,Mikko Sakari,"Hirvonen, Mikko 'Apsu'",,,etunimi.sukunimi.587@example.com,Testiosoite 588,10587,Helsinki,21,KSO-VSO,MM,
590,Tuominen,Niko Petteri,"Tuominen, Niko",,,etunimi.sukunimi.588@example.com,Testiosoite 589,10588,Helsinki,21,KSO-VSO,K,
591,Hamberg,Ninni Maria Katariina,"Hamberg, Ninni",,,etunimi.sukunimi.589@example.com,Testiosoite 590,10589,Helsinki,21,KSO-VSO,E,
592,Nokso-Koivisto,Eero Oskari,"Nokso-Koivisto, Oskari",,,etunimi.sukunimi.590@example.com,Testiosoite 591,10590,Helsinki,21,KSO-VSO,H,
593,Simelius,Satu Marianna,"Simelius, Satu",,,etunimi.sukunimi.591@example.com,Testiosoite 592,10591,Helsinki,21,KSO-VSO,ML,
594,Halme,Teemu Antero,"Halme, Teemu",,,etunimi.sukunimi.592@example.com,Testiosoite 593,10592,Helsinki,21,KSO-VSO,V,
595,Mäkinen,Tero Tapani,"Mäkinen, Tero",,,etunimi.sukunimi.593@example.com,Testiosoite 594,10593,Helsinki,21,KSO-VSO,O,
596,Torkki,Anna Katariina,"Torkki, Anna",,,etunimi.sukunimi.594@example.com,Testiosoite 595,10594,Helsinki,24,SatO-ESO2,B,
597,Ritala,Anni Maria,"Ritala, Anni",,,etunimi.sukunimi.595@example.com,Testiosoite 596,10595,Helsinki,24,SatO-ESO2,T,
598,Lehtikangas,Annukka Katariina Emilia,"Lehtikangas, Annukka",,,etunimi.sukunimi.596@example.com,Testiosoite 597,10596,Helsinki,24,SatO-ESO2,L,
599,Saarenmaa,Antto Sakari,"Saarenmaa, Antto",,,etunimi.sukunimi.597@example.com,Testiosoite 598,10597,Helsinki,24,SatO-ESO2,MM,
600,Välimäki,Anu Jutta Hannele,"Välimäki, Anu",,,etunimi.sukunimi.598@example.com,Testiosoite 599,10598,Helsinki,24,SatO-ESO2,K,
601,Lepistö,Emmi Loviisa,"Lepistö, Emmi",,,etunimi.sukunimi.599@example.com,Testiosoite 600,10599,Helsinki,24,SatO-ESO2,E,
602,Norri,Essi Erene Annika,"Norri, Essi",,,etunimi.sukunimi.600@example.com,Testiosoite 601,10600,Helsinki,24,SatO-ESO2,H,
603,Hannus,Hanna Sofia,"Hannus, Hanna",,,etunimi.sukunimi.601@example.com,Testiosoite 602,10601,Helsinki,24,SatO-ESO2,ML,
604,Lehti,Hanna-Kaisa Kristiina,"Lehti, Hanna-Kaisa",,,etunimi.sukunimi.602@example.com,Testiosoite 603,10602,Helsinki,24,SatO-ESO2,V,
605,Hyyti,Heikki Sakari,"Hyyti, Heikki",,,etunimi.sukunimi.603@example.com,Testiosoite 604,10603,Helsinki,24,SatO-ESO2,O,
606,Holopainen,Henri Iiro Eemeli,"Holopainen, Henri",,,etunimi.sukunimi.604@example.com,Testiosoite 605,10604,Helsinki,24,SatO-ESO2,B,
607,Kärrylä,Ilkka Aleksi,"Kärrylä, Ilkka",,,etunimi.sukunimi.605@example.com,Testiosoite 606,10605,Helsinki,24,SatO-ESO2,T,
608,Liinaharja,Eriika Inkeri,"Liinaharja, Inkeri",,,etunimi.sukunimi.606@example.com,Testiosoite 607,10606,Helsinki,24,SatO-ESO2,L,
609,Liinaharja,Johanna Elina,"Liinaharja, Johanna",,,etunimi.sukunimi.607@example.com,Testiosoite 608,10607,Helsinki,24,SatO-ESO2,MM,
610,Tuomi,Juho Valtteri,"Tuomi, Juho",,,etunimi.sukunimi.608@example.com,Testiosoite 609,10608,Helsinki,24,SatO-ESO2,K,
611,Ritala,Kaisa Marika,"Ritala, Kaisa",,,etunimi.sukunimi.609@example.com,Testiosoite 610,10609,Helsinki,24,SatO-ESO2,E,
612,Aalto-Setälä,Laura Katriina,"Aalto-Setälä, Laura",,,etunimi.sukunimi.610@example.com,Testiosoite 611,10610,Helsinki,24,SatO-ESO2,H,
613,Laurén,Marika,"Laurén, Marika",,,etunimi.sukunimi.611@example.com,Testiosoite 612,10611,Helsinki,24,SatO-ESO2,ML,
614,Alho,Markku Juhani,"Alho, Markku",,,etunimi.sukunimi.612@example.com,Testiosoite 613,10612,Helsinki,24,SatO-ESO2,V,
615,Ilomäki,Miika Valtteri,"Ilomäki, Miika",,,etunimi.sukunimi.613@example.com,Testiosoite 614,10613,Helsinki,24,SatO-ESO2,O,
616,Mäkipää,Mikko Tapani,"Mäkipää, Mikko",,,etunimi.sukunimi.614@example.com,Testiosoite 615,10614,Helsinki,24,SatO-ESO2,B,
617,Heikintalo,Noora Marjaana,"Heikintalo, Noora",,,etunimi.sukunimi.615@example.com,Testiosoite 616,10615,Helsinki,24,SatO-ESO2,T,
618,Sattilainen,Otso Ilmari,"Sattilainen, Otso",,,etunimi.sukunimi.616@example.com,Testiosoite 617,10616,Helsinki,24,SatO-ESO2,L,
619,Alitalo,Tero Johannes,"Alitalo, Tero",,,etunimi.sukunimi.617@example.com,Testiosoite 618,10617,Helsinki,24,SatO-ESO2,MM,
620,Häivälä,Timo Juhani,"Häivälä, Timo",,,etunimi.sukunimi.618@example.com,Testiosoite 619,10618,Helsinki,24,SatO-ESO2,K,
621,Tamminen,Tuulia Paulina,"Tamminen, Tuulia",,,etunimi.sukunimi.619@example.com,Testiosoite 620,10619,Helsinki,24,SatO-ESO2,E,
622,Rintanen,Tytti Inkeri,"Rintanen, Tytti",,,etunimi.sukunimi.620@example.com,Testiosoite 621,10620,Helsinki,24,SatO-ESO2,H,
623,Parisianos,Veera Nikoletta,"Parisianos, Veera",,,etunimi.sukunimi.621@example.com,Testiosoite 622,10621,Helsinki,24,SatO-ESO2,ML,
624,Ritala,Johanna Wilhelmiina,"Ritala, Wilhelmiina",,,etunimi.sukunimi.622@example.com,Testiosoite 623,10622,Helsinki,24,SatO-ESO2,V,
625,Ilkka,Emma Josefiina,"Ilkka, Emma",,,etunimi.sukunimi.623@example.com,Testiosoite 624,10623,Helsinki,24,SatO-ESO2,O,
626,Parkkari,Jussi-Pekka,"Parkkari, Jussi-Pekka",,,etunimi.sukunimi.624@example.com,Testiosoite 625,10624,Helsinki,24,SatO-ESO2,B,
627,Karulinna,Karoliina Jounintytär,"Karulinna, Karoliina",,,etunimi.sukunimi.625@example.com,Testiosoite 626,10625,Helsinki,24,SatO-ESO2,T,
628,Peltonen,Lauri Pekka,"Peltonen, Lauri 'Peltsi'",,,etunimi.sukunimi.626@example.com,Testiosoite 627,10626,Helsinki,24,SatO-ESO2,L,
629,Lassila,Maria Sisko Helena,"Lassila, Maria",,,etunimi.sukunimi.627@example.com,Testiosoite 628,10627,Helsinki,24,SatO-ESO2,MM,
630,Kauppinen,Mikael Uolevi Rikari,"Kauppinen, Mikael",,,etunimi.sukunimi.628@example.com,Testiosoite 629,10628,Helsinki,24,SatO-ESO2,K,
631,Tiusanen,Otto Veikko Verneri,"Tiusanen, Otto",,,etunimi.sukunimi.629@example.com,Testiosoite 630,10629,Helsinki,24,SatO-ESO2,E,
632,Lindfors,Pia Kristina,"Lindfors, Pia",,,etunimi.sukunimi.630@example.com,Testiosoite 631,10630,Helsinki,24,SatO-ESO2,H,
633,Hatakka,Antti Sampsa Johannes,"Hatakka, Sampsa",,,etunimi.sukunimi.631@example.com,Testiosoite 632,10631,Helsinki,24,SatO-ESO2,ML,
634,Sulkamo,Saramia Maria,"Sulkamo, Saramia",,,etunimi.sukunimi.632@example.com,Testiosoite 633,10632,Helsinki,24,SatO-ESO2,V,
635,Adler,Taru Sinikka,"Adler, Taru",,,etunimi.sukunimi.633@example.com,Testiosoite 634,10633,Helsinki,24,SatO-ESO2,O,
636,Hillukkala,Tuomas Juha Tapani,"Hillukkala, Tuomas 'Juomas'",,,etunimi.sukunimi.634@example.com,Testiosoite 635,10634,Helsinki,24,SatO-ESO2,B,
637,Wäre,Tuomas Risto,"Wäre, Tuomas",,,etunimi.sukunimi.635@example.com,Testiosoite 636,10635,Helsinki,24,SatO-ESO2,T,
638,Aitosalo,Veikko Olavi,"Aitosalo, Veikko",,,etunimi.sukunimi.636@example.com,Testiosoite 637,10636,Helsinki,24,SatO-ESO2,L,
639,Saarelainen,Antti Juhani,"Saarelainen, Antti",,,etunimi.sukunimi.637@example.com,Testiosoite 638,10637,Helsinki,17,Domus Gaudiumin osakunnat,MM,
640,Ahtonen,Hanna Riikka,"Ahtonen, Hanna",,,etunimi.sukunimi.638@example.com,Testiosoite 639,10638,Helsinki,17,Domus Gaudiumin osakunnat,K,
641,Eskelinen,Juho Pekka Aleksi,"Eskelinen, Juho",,,etunimi.sukunimi.639@example.com,Testiosoite 640,10639,Helsinki,17,Domus Gaudiumin osakunnat,E,
642,Tiainen,Nelli Eveliina,"Tiainen, Nelli",,,etunimi.sukunimi.640@example.com,Testiosoite 641,10640,Helsinki,17,Domus Gaudiumin osakunnat,H,
643,Tanskanen,Noora Anniina,"Tanskanen, Noora",,,etunimi.sukunimi.641@example.com,Testiosoite 642,10641,Helsinki,17,Domus Gaudiumin osakunnat,ML,
644,Torvinen,Pekka Juho Henrik,"Torvinen, Pekka",,,etunimi.sukunimi.642@example.com,Testiosoite 643,10642,Helsinki,17,Domus Gaudiumin osakunnat,V,
645,Rantala,Samuli Waldemar,"Rantala, Samuli",,,etunimi.sukunimi.643@example.com,Testiosoite 644,10643,Helsinki,17,Domus Gaudiumin osakunnat,O,
646,Nousiainen,Taru Susanna,"Nousiainen, Taru",,,etunimi.sukunimi.644@example.com,Testiosoite 645,10644,Helsinki,17,Domus Gaudiumin osakunnat,B,
647,Meriläinen,Teemu Samuel,"Meriläinen, Teemu",,,etunimi.sukunimi.645@example.com,Testiosoite 646,10645,Helsinki,17,Domus Gaudiumin osakunnat,T,
648,Kiviranta,Tuure Tapio,"Kiviranta, Tuure",,,etunimi.sukunimi.646@example.com,Testiosoite 647,10646,Helsinki,17,Domus Gaudiumin osakunnat,L,
649,Mänttäri,Antti Erik,"Mänttäri, Antti",,,etunimi.sukunimi.647@example.com,Testiosoite 648,10647,Helsinki,17,Domus Gaudiumin osakunnat,MM,
650,Kiiski,Essi Ida Anniina,"Kiiski, Essi",,,etunimi.sukunimi.648@example.com,Testiosoite 649,10648,Helsinki,17,Domus Gaudiumin osakunnat,K,
651,Kössi,Liisa Hanna-Maria,"Kössi, Hanna-Maria 'Hannis'",,,etunimi.sukunimi.649@example.com,Testiosoite 650,10649,Helsinki,17,Domus Gaudiumin osakunnat,E,
652,Luoto,Heikki Juhani,"Luoto, Heikki",,,etunimi.sukunimi.650@example.com,Testiosoite 651,10650,Helsinki,17,Domus Gaudiumin osakunnat,H,
653,Rainamaa,Jussi Petteri,"Rainamaa, Jussi",,,etunimi.sukunimi.651@example.com,Testiosoite 652,10651,Helsinki,17,Domus Gaudiumin osakunnat,ML,
654,Salonen,Marleena Meri-Tuulia,"Salonen, Marleena",,,etunimi.sukunimi.652@example.com,Testiosoite 653,10652,Helsinki,17,Domus Gaudiumin osakunnat,V,
655,Laaksonen,Mikko Olavi,"Laaksonen, Mikko",,,etunimi.sukunimi.653@example.com,Testiosoite 654,10653,Helsinki,17,Domus Gaudiumin osakunnat,O,
656,Ahtosalo,Milja Sinituulia,"Ahtosalo, Milja",,,etunimi.sukunimi.654@example.com,Testiosoite 655,10654,Helsinki,17,Domus Gaudiumin osakunnat,B,
657,Nöjd,Riku Santtu Rainer,"Nöjd, Riku",,,etunimi.sukunimi.655@example.com,Testiosoite 656,10655,Helsinki,17,Domus Gaudiumin osakunnat,T,
658,Mäkelä,Teemu Olavi,"Mäkelä, Teemu",,,etunimi.sukunimi.656@example.com,Testiosoite 657,10656,Helsinki,17,Domus Gaudiumin osakunnat,L,
659,Laine,Timo Johannes,"Laine, Timo",,,etunimi.sukunimi.657@example.com,Testiosoite 658,10657,Helsinki,17,Domus Gaudiumin osakunnat,MM,
660,Kähö,Anna Katriina,"Kähö, Anna",,,etunimi.sukunimi.658@example.com,Testiosoite 659,10658,Helsinki,17,Domus Gaudiumin osakunnat,K,
661,Hänninen,Annamaria Janita,"Hänninen, Annamaria",,,etunimi.sukunimi.659@example.com,Testiosoite 660,10659,Helsinki,17,Domus Gaudiumin osakunnat,E,
662,Mäkeläinen,Anni Katariina,"Mäkeläinen, Anni",,,etunimi.sukunimi.660@example.com,Testiosoite 661,10660,Helsinki,17,Domus Gaudiumin osakunnat,H,
663,Tuovinen,Anssi Tapani,"Tuovinen, Anssi",,,etunimi.sukunimi.661@example.com,Testiosoite 662,10661,Helsinki,17,Domus Gaudiumin osakunnat,ML,
